sep=;
﻿"ID Laporan";"Tipe Pengaduan";"Tanggal Dibuat";"Nama Pelapor";"No. HP";"NIK / NIM";"Status Pelapor";"Unit Kerja / Prodi";"Kategori Aduan";"Alasan Pengaduan";"Kebutuhan Penyintas";"Waktu Kejadian";"Tempat Kejadian";Kronologi;"Pihak Terlibat";"Bersedia Dihubungi";"Status Laporan";"Catatan Satgas"
RPT-202607-E541;"Student Safety";"22-07-2026 15:38:00";"Hasbi Zainnn";'98765333322;'1342427722;Mahasiswa;ti;Perundungan;"Pelapor adalah perantara/ pendamping penyintas";"Bantuan Medis";"30 Maret 2026";"wc lantai 5";jyweekwehfkse;ue;Ya;Menunggu;-
RPT-202607-796E;"Satgas PPKPT";"14-07-2026 19:27:18";"Wafiq Zuhayr";'081228842132;'76w7;Mahasiswa;"Dokter hewan";"Kekerasan Psikis";"Pelapor ingin SATGAS UNIMUS mendokumentasikan kejadian, meningkatkan keamanan, dan memberikan perlindungan kepada saya";"Tidak Membutuhkan Pendampingan/ Bantuan";"14 maret";"lab komputer";"tolong perbaiki yang web yang sudah saya deploy";-;Ya;Menunggu;-
RPT-202607-1854;"Satgas PPKPT";"14-07-2026 19:24:40";"Wafiq Zuhayr";'081228842132;'3143365475;Dosen;ti;"Kekerasan Psikis";"Pelapor/ Penyintas membutuhkan konsultasi hukum";"Konseling Psikologis";"30 Maret 2026";"lab komputer";kebedvgiy2e;3j2gudg2;Ya;Menunggu;-
RPT-202607-DD9F;"Satgas PPKPT";"14-07-2026 19:24:40";"Wafiq Zuhayr";'081228842132;'3143365475;Dosen;ti;"Kekerasan Psikis";"Pelapor/ Penyintas membutuhkan konsultasi hukum";"Konseling Psikologis";"30 Maret 2026";"lab komputer";kebedvgiy2e;3j2gudg2;Ya;Menunggu;-
RPT-202607-3882;"Satgas PPKPT";"14-07-2026 19:24:39";"Wafiq Zuhayr";'081228842132;'3143365475;Dosen;ti;"Kekerasan Psikis";"Pelapor/ Penyintas membutuhkan konsultasi hukum";"Konseling Psikologis";"30 Maret 2026";"lab komputer";kebedvgiy2e;3j2gudg2;Ya;Menunggu;-
RPT-202607-825C;"Satgas PPKPT";"14-07-2026 19:24:39";"Wafiq Zuhayr";'081228842132;'3143365475;Dosen;ti;"Kekerasan Psikis";"Pelapor/ Penyintas membutuhkan konsultasi hukum";"Konseling Psikologis";"30 Maret 2026";"lab komputer";kebedvgiy2e;3j2gudg2;Ya;Menunggu;-
RPT-202607-8EC4;"Satgas PPKPT";"14-07-2026 19:24:38";"Wafiq Zuhayr";'081228842132;'3143365475;Dosen;ti;"Kekerasan Psikis";"Pelapor/ Penyintas membutuhkan konsultasi hukum";"Konseling Psikologis";"30 Maret 2026";"lab komputer";kebedvgiy2e;3j2gudg2;Ya;Menunggu;-
RPT-202607-0CCE;"Satgas PPKPT";"14-07-2026 19:24:37";"Wafiq Zuhayr";'081228842132;'3143365475;Dosen;ti;"Kekerasan Psikis";"Pelapor/ Penyintas membutuhkan konsultasi hukum";"Konseling Psikologis";"30 Maret 2026";"lab komputer";kebedvgiy2e;3j2gudg2;Ya;Menunggu;-
RPT-202607-A829;"Satgas PPKPT";"14-07-2026 19:24:34";"Wafiq Zuhayr";'081228842132;'3143365475;Dosen;ti;"Kekerasan Psikis";"Pelapor/ Penyintas membutuhkan konsultasi hukum";"Konseling Psikologis";"30 Maret 2026";"lab komputer";kebedvgiy2e;3j2gudg2;Ya;Menunggu;-
RPT-202607-58AC;"Satgas PPKPT";"14-07-2026 16:05:52";"Hasbi Zain";'0837537383;'1324420090;Mahasiswa;ti;Perundungan;"Penyintas membutuhkan bantuan psikologis";"Konseling Psikologis";"30 Maret 2026";"lab komputer";okojoijoihiughhgv;-;Ya;Menunggu;-
RPT-202607-4038;"Satgas PPKPT";"10-07-2026 10:05:36";"Hasbi Zai";'0837537383;'34234233;Mahasiswa;ti;"Kebijakan yang Mengandung Kekerasan";"Yang lainnya";"Koordinasi dengan Satgas PPKPT dan/atau Perguruan Tinggi";"14 maret";"lab komputer";"Sinyal susah";-;Ya;Menunggu;-
RPT-202606-AD4E;"Satgas PPKPT";"30-06-2026 09:33:20";"Hasbi Zain";'0837537383;'1324420090;Mahasiswa;"Dokter hewan";"Kekerasan Seksual";"Penyintas membutuhkan ruang aman segera/ dalam keadaan darurat";"Bantuan Hukum";"30 Maret 2026";"lab komputer";"pelecehan terhadap komputer";thomas;Ya;Menunggu;-
RPT-202606-3400;"Satgas PPKPT";"30-06-2026 09:21:16";Hasbi;'028287442;'234234234;Mahasiswa;"Dokter hewan";"Kekerasan Seksual";"Penyintas membutuhkan ruang aman segera/ dalam keadaan darurat";"Bantuan Hukum";"14 maret";WC;"saepp di rodog wafiq";hasbi;Ya;Menunggu;-
RPT-202606-F0CA;"Satgas PPKPT";"30-06-2026 05:40:58";"Hasbi Zain";'09738826;'1324420090;Lainnya;ti;Lainnya;"Yang lainnya";"Yang lainnya";"14 maret";"wc lantai 5";"telah pembunuhan di wc lantai 5";-;Ya;Menunggu;-
RPT-202606-E066;"Satgas PPKPT";"29-06-2026 15:40:57";"Hasbi Zain";'0837537383;'34234233;Mahasiswa;ti;Lainnya;"Yang lainnya";"Yang lainnya";"14 maret";"wc lantai 5";"sayaa lagi di toilet lagi bab di matiin lampunya";orang;Ya;Menunggu;-
